subitem,subject,item,transciption
24-23,24,23,the canoe with the weathered oar needed to be fixed before they could use it
24-4,24,4,the coach near the disruptive teenager... disciplined him
24-17,24,17,the waitress for the impatient senior…decided to be patient with him
24-20,24,20,the hydrant with the bent hoses isn't very useful
24-13,24,13,the bicycle with the warped baskets had to be replaced
24-9,24,9,the butler near the selfish millionaires decided that they would be a good candidate for paying him well
24-18,24,18,the table for the antique lamp is also an antique
24-15,24,15,the church with the giant driveways is the most popular one in town
24-22,24,22,the trainer for the confident boxer was just as confident
24-8,24,8,the fortress near the ancient walls is a ruin now
24-10,24,10,the vase near the vibrant flower was used to transport it
24-11,24,11,the banana near the popular sundae was a must have
24-7,24,7,the necklace near the colorful diamonds is a contrast toooo the diamonds
24-12,24,12,the bodyguard near the something…X
24-3,24,3,the hammer by the riv-rigid pegs was broken
24-19,24,19,the resort with the elongated pools is belongs to a five star hotel
24-1,24,1,the envelope by the photo albums was filled with photos as well
25-11,25,11,the banana near the popular….X
25-22,25,22,the trainer for the confident boxers was strong
25-14,25,14,the caddy near the charismatic golfer was efficient
25-8,25,8,the fortress near the an-ancient farm was big
25-21,25,21,the guitar with the faulty door…X
25-10,25,10,the vase near the vibrant flowers looked dull
25-5,25,5,the tent near the sturdy cushions…was high
25-3,25,3,the hammer for the rusty nail didn't do its job
25-19,25,19,the resort with the elaborate garden was well saw(sic) after
25-7,25,7,the necklace near the colorful feather was pretty
25-13,25,13,the bicycle by the warped tire fell
25-2,25,2,the cake with the colored candle was for my birthday
25-16,25,16,the eraser for the novelty pens worked really well
25-18,25,18,the table for the antique lamps was small
25-6,25,6,the dam by the musty factories had a lot of pollution
25-1,25,1,the envelope for the formal letter was card stock
25-12,25,12,the bodyguard near the nervous actresses…was….solid
25-15,25,15,the church near the giant cross was for christians
25-20,25,20,the hydrant with the bright reflector was peed on
25-17,25,17,the waitress for the impatient seniors was frustrated
25-24,25,24,the camera with the special lenses made beautiful pictures
25-23,25,23,the canoe with the weathered oars was used by indians
25-4,25,4,the coach near the disruptive teenagers…got angry
25-9,25,9,the butler near the spoiled kid was quiet
26-16,26,16,the eraser nearest the novelty pencil was on the ground
26-15,26,15,the church near the giant crosses was tiny in comparison
26-4,26,4,the coach for the disciplined athlete was very proud
26-17,26,17,the waitress by the impatient diner…uh…was being yelled at
26-19,26,19,the resort with the elaborate gardens was overpriced
26-9,26,9,the butler nearly spoiled the kids uh with chocolate
26-6,26,6,the dam for the murky river was under construction
26-23,26,23,the canoe with the weathered flag was winding down the river
26-1,26,1,the envelope for the formal letters was too small
26-2,26,2,the cake with the colored candles was eaten by everyone
26-11,26,11,the banana near (sighed) with the popular sandwich went unnoticed
26-21,26,21,the guitar with the faulty pedals was repaired
26-13,26,13,the bicycle with th-by the warped tires uh was unridable(sic)
26-14,26,14,the caddy near the charismatic golfers were impressed by their skill
26-12,26,12,the bodygeared(sic)-guard near the nervous jeweler was very busy
26-24,26,24,the camera with the special manual uh...was difficult to operate
26-20,26,20,the hydrant with the bright reflectors uh was not hit
26-3,26,3,the hammer for the rusty nails was also rusty
26-7,26,7,the necklace near the colorful feathers uh was gold
26-22,26,22,the trainer for the confident actor…had little to do
26-10,26,10,the vase near the vibrant cover uh was also colorful
26-18,26,18,the table by the antique chair was also an antique
26-5,26,5,the tent with the sturdy pole stayed up i-even under strong wind
26-8,26,8,the fortress near the ancient farms was beginning to crumble
27-11,27,11,the banana near the popular sandwiches …was peeled
27-12,27,12,the bodyguard near the nervous and jewelers stood guard
27-5,27,5,the tent with the sturdy poles stood up in the rain
27-16,27,16,the eraser near the novelty pencils did not work
27-19,27,19,the resort near the elongated pool was five star
27-10,27,10,the vase near the vibrant covers broke
27-21,27,21,the guitar near the faulty string broke
27-22,27,22,the trainer for the confident I didn't see that…X
27-9,27,9,the butler for the selfish millionaire was very sassy
27-4,27,4,the coach for the disciplined athletes was very proud
27-20,27,20,the hydrant near the…something…oh near the bent hose was backed up
27-17,27,17,the waitress by the impatient diners tapped her foot equally impatiently
27-13,27,13,the bicycle by the warped basket…rested in a bike lock
27-7,27,7,the necklace with the colorful diamond was stolen
27-15,27,15,the church near the giant driveway has plenty of parking
27-24,27,24,the camera with the special manuals was very expensive
27-23,27,23,the canoe with the weathered flags looked it was run by pirates
27-2,27,2,the cake with the candy figurine was served at a wedding
27-8,27,8,the fortress with the ancient wall stood tall
27-1,27,1,the envelope for the photo album was thrown away
27-3,27,3,the hammer for the rigid peg... hammered that peg
27-6,27,6,the dam for the murky rivers broke
27-14,27,14,the caddy near the charismatic celebrity held his golf clubs
27-18,27,18,the table by the anchi-by the antique chairs had plastic over it
28-5,28,5,the tent with….X
28-16,28,16,…X
28-12,28,12,the bodyguard for the nervous actress was buff
28-13,28,13,the bicycle…X
28-7,28,7,the necklace with the colorful diamonds was expensive
28-9,28,9,…X
28-10,28,10,the vase with vibrant flowers was purple
28-2,28,2,the cake with candy figurines was for the birthday party
28-14,28,14,…X
28-23,28,23,the canoe near the weathered oar was in the water
28-15,28,15,the church near the…X
28-1,28,1,the envelope for the photo albums was in the basement
28-4,28,4,the coach for the disruptive teenager was frustrated
28-3,28,3,the hammer for the rigid pegs was large
28-8,28,8,the fortress with the ancient walls was large
28-18,28,18,the table by the antique lamp was in an antique score(sic)
28-24,28,24,the camera by the special lens…was not for sale
28-20,28,20,the hydrant near the bent hoses needed service
28-21,28,21,the guitarist with the fault strings had to go buy new strings
28-22,28,22,…X
28-6,28,6,..X
28-11,28,11,the banana for the popular sundae was rotten
28-19,28,19,the resort near the elongated paths was in colorado
28-17,28,17,the waitress by the impatient senior became frustrated
29-10,29,10,the vase with the vibrant flowers was broken
29-12,29,12,the bodyguard of the nervous actress was busy
29-24,29,24,the camera by the special len…..X
29-9,29,9,the butler for the spoiled kid had a hard job
29-22,29,22,the trainer near the confident boxers was worried about the match
29-20,29,20,the hydrant near the bright reflectorrrr was broken
29-2,29,2,the cake by the colored candle was for my birthday
29-4,29,4,the coach for the disruptive teenagers was very concerned
29-5,29,5,the tent with the study(sic)….X
29-3,29,3,the hammer by the rusty nail sat there
29-11,29,11,the banana…X
29-1,29,1,the envelope by the formal letter was signed
29-16,29,16,the eraser near the novelty pens was unused
29-6,29,6,the dam for the musty factories was overflowing
29-13,29,13,the bicycle with the warped tire wouldn't ride
29-8,29,8,the fortresses with the ancient farm had cows
29-7,29,7,the necklace with the colorful feathers was beautiful
29-14,29,14,the caddy for the charismatic golfer was amused
29-23,29,23,the canoe near the weathered oars was sitting
29-15,29,15,the church with the giant cross was packed
29-21,29,21,the guitar near the faulty pedal…was too loud
29-18,29,18,the table by the antique lamps was wood
29-17,29,17,the waitress by the impatient seniors was not amused
29-19,29,19,the resort near the elaborate garden was very luxurious
30-16,30,16,the eraser for the novelty pencil broke off
30-12,30,12,the bodyguard for the nervous jewelerrrr got sick
30-19,30,19,the resort near the elaborate….X
30-1,30,1,the envelope by the formal letters tore off
30-3,30,3,the hammer by the rusty nails fell on to the floor
30-17,30,17,the waitress for the impatient diner was fired
30-23,30,23,the canoe near the weathered flag…..X
30-15,30,15,the church with the giant crosses started mass
30-8,30,8,the fortress with the ancient farms was attacked
30-18,30,18,the table for the antique chair was repainted
30-22,30,22,the trainer for the confident actorrrr was working out
30-20,30,20,the hydrant near the bright reflectors (clears throat) was broken
30-5,30,5,the tent near the sturdy pole….was (unclear)
30-13,30,13,the bicycle with the warped tires was taken to the repair shop
30-24,30,24,the camera by the special manual was new
30-4,30,4,the coach near the disciplined athlete was proud
30-21,30,21,the guitar near the faulty pedalsss was strung
30-6,30,6,the dam by the murky river was starting to deteriorate
30-9,30,9,the butler for the spoiled qui-kids decided to quit
30-7,30,7,the necklace with the colorful feathers were missing
30-10,30,10,the vase with the vibrant coverrr shattered
30-11,30,11,the banana for the popular sandwich ran out
30-2,30,2,the cake by the colored candles was devoured
30-14,30,14,the caddy for the charismatic golfers weren't as charismatic
31-2,31,2,the cake by the candy figurine tasted good
31-8,31,8,the fortress…..X
31-7,31,7,the necklace near the colorful diamond….X
31-9,31,9,the butler near the selfish millionaire looked humble
31-10,31,10,the vase with the vibrant col-ers…X
31-21,31,21,the guitar with the faulty string did not sound good
31-18,31,18,the table for the antique chairs was old
31-14,31,14,the candy(sic) for the charisma…..X
31-23,31,23,the canoe near the weathered flags was broken
31-15,31,15,the church with the giant driveway had a lot of cars in it
31-4,31,4,the coach near the disciplined athletes… was a good coach
31-20,31,20,the hydrant with the bent hose is not functional
31-1,31,1,the envelop wit-by the photo album was filled with…photos
31-22,31,22,the trainer near the confident actors…..X
31-13,31,13,the bicycle with the warped basket was broken
31-6,31,6,the dam by the murky rivers was built by beavers
